kind,record_id,repo_id,status,usable,labeled_focal_method,labeled_focal_signature,top1_pred_name,top1_pred_signature,top1_score,top1_identifier_correct,top3_identifier_correct,top1_signature_correct,top3_signature_correct,top1_primary_correct,top3_primary_correct,ground_truth_rank_identifier,failure_mode,mapping_output_path,n_records,n_signature_records,top1_identifier_accuracy,top3_identifier_accuracy,top1_signature_accuracy,top3_signature_accuracy,top1_primary_accuracy,top3_primary_accuracy
record,c2t_a860579ae4bf043c4cd7,105200994,error,True,getRecursiveFiles,"@NotNull public static List<File> getRecursiveFiles(boolean excludeHyphenPrefix, @NotNull Plugin plugin,
                                               @NotNull String... children)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_a0368c03cdc3830d9390,109219866,error,True,getDefault,public static Services getDefault(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_4da5a92f77f4bee7ef14,11613195,error,True,copyThumbnails,"public List<String> copyThumbnails(EuropeanaQueryInterface search,
			File dir, int maxResults)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_e503f2b94fcc926e5950,116163042,error,True,of,public static Name of(String name),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_f73e3bbac0a7e586c800,120003293,error,True,publisherToDeferredResult,"public static Function<Publisher<T>, DeferredResult<R>> publisherToDeferredResult(
          Function<? super List<T>, R> collector)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_5cd10b21a8eefcdae9b2,122467588,error,True,getUserName,public void getUserName(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_cc7a2d4b6d9d5fe621d0,128403104,error,True,of,"public static BlockPos of(int x, int y, int z)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_7f8f1d019e81d0ea32b4,144361208,error,True,show,"@RequestMapping(value = ""/{id:[\\d]*}"", method = RequestMethod.GET) public String show(@PathVariable Long id, Model model)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_90aab6758b6355db86fb,147378679,error,True,getBinomials,public static long[][] getBinomials(int m),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_3eb59e18f5df1a7c67fe,150938406,error,True,parse,"public Tuple2<Boolean, Row> parse(String line)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_8881cb25bda90dff7bd4,15997656,error,True,distributeToRequestInterceptor,"public MutableHttpServletRequest distributeToRequestInterceptor(
        MutableHttpServletRequest request, OgcMessage message)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_f5e6c6302c39071ad273,162657830,error,True,isIntegerValue,public static boolean isIntegerValue(BigDecimal value),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_242f67582f27d83c3771,165292138,error,True,getUsers,@Override public List<UserDTO> getUsers(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_912e5f3305d197292c61,16563359,error,True,getConfigurationFactory,@Override public ComponentConfigurationResolver getConfigurationFactory(final String componentType),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_cb7fbb5ed20a96453249,175086428,error,True,setLimit,public void setLimit(long vsize),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_eeec8c384c6587b06e7a,175298978,error,True,query,@Override public void query(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_eddc28b601f5a185567d,17990464,error,True,advancePast,"static Iterator<T> advancePast(@NonNull Iterator<T> iterator, @NonNull T element)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_e3a6cbc37a9c4f65a742,20249391,error,True,invokeConstructor,"public static T invokeConstructor(Class<T> classThatContainsTheConstructorToTest, Class<?>[] parameterTypes,
			Object[] arguments)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_016a143a602dd7a494d2,20555659,error,True,ntriplesString,@Override public String ntriplesString(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_f0eddbaeeed7fcd4b229,20746753,error,True,create,"@SuppressWarnings(""unchecked"") public T create(String className, Object[] constructorArgs)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_2092379fc334190fec64,23257998,error,True,use,@Override public boolean use(LocalVariable data),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_e556c80b3d487fae635e,24653868,error,True,parseTopic,private List<Token> parseTopic(String topic),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_d6318f58b9467b16cfdc,248529016,error,True,getInputArgsType,@Override public Class<?> getInputArgsType(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_c4e0d05e7540cd0d4e31,28992330,error,True,ApacheHttpTransport,public  ApacheHttpTransport(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_3f8e3aa91e7ac7b36bdf,30000823,error,True,getStatus,public RdRandStatus getStatus(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_23742e381efa5b4b6587,30008530,error,True,isZkOwnerExist,"public synchronized boolean isZkOwnerExist(String topic, int partition)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_c678807f6b8c73e1a5c4,32488797,error,True,emitHumanDescription,"static void emitHumanDescription(StringBuilder builder, List<FieldBinding> bindings)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_27d16cb8c7e791ecd76d,32521417,error,True,apply,@Override public Optional<TaupageYaml> apply(final EC2InstanceContext context),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_ac700fc8fa28ad1a86ec,32895424,error,True,service,"@Override public void service(HttpRequest request, HttpResponse response)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_df323a724fc2573b0b91,35515269,error,True,authenticate,@Override public Authentication authenticate(Authentication authentication),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_d82081a91a1f8b0062d7,35515269,error,True,resolveUsername,protected String resolveUsername(KeycloakAuthenticationToken token),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_476b8af3ba87b121c66b,35515269,error,True,authenticate,@Override public Authentication authenticate(Authentication authentication),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_a7c12fb9e3693fa406fe,35515269,error,True,supports,@Override public boolean supports(Class<?> authentication),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_502e13fd9e51c5d8e944,35515269,error,True,createAccount,"public static OidcKeycloakAccount createAccount(KeycloakDeployment deployment, RefreshableKeycloakSecurityContext context)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_89605711b9e53c985f88,35515269,error,True,createGrantedAuthorities,public static Collection<?extends GrantedAuthority> createGrantedAuthorities(RefreshableKeycloakSecurityContext context),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_263793028cfaf8dd2158,35515269,error,True,createGrantedAuthorities,public static Collection<?extends GrantedAuthority> createGrantedAuthorities(RefreshableKeycloakSecurityContext context),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_103b7de15f15ddce9976,35515269,error,True,authenticate,@Override public Authentication authenticate(Authentication authentication),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_a5cc35a1a11683970d5f,35515269,error,True,authenticate,@Override public Authentication authenticate(Authentication authentication),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_f2352ca6c9731eea6a32,35515269,error,True,resolveUsername,protected String resolveUsername(KeycloakAuthenticationToken token),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_7878f399cd852b14853f,35515269,error,True,authenticate,@Override public Authentication authenticate(Authentication authentication),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_be84823d744c9b3f7015,35515269,error,True,resolveUsername,protected String resolveUsername(Object principal),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_f6da4f0f986eb417b939,35515269,error,True,resolveUsername,protected String resolveUsername(Object principal),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_af2d1d5c470df60d09c9,35515269,error,True,resolveUsername,protected String resolveUsername(Object principal),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_b33af5fe39d1966972eb,35515269,error,True,resolveUsername,protected String resolveUsername(Object principal),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_2ce26b565add50a9070f,35897457,error,True,getPossiblyRelativisedUri,public static URI getPossiblyRelativisedUri(URI uri),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_7f7ff47c485cff6652f8,35897457,error,True,parse,"public Iterator<Node[]> parse(Reader r, String baseURI)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_c7f3927ea947138658f2,35897457,error,True,toString,@Override public String toString(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_ff5f870a31667ec42fd3,35897457,error,True,toString,@Override public String toString(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_62c5578740ee97a4a224,35897457,error,True,toString,@Override public String toString(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_7a1acb7e8f1588c731ae,35897457,error,True,getCanonicalRepresentation,public String getCanonicalRepresentation(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_61a9a4190bf44c2c9774,35897457,error,True,getCanonicalRepresentation,public String getCanonicalRepresentation(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_7701a5409e0ca6b5d91e,35897457,error,True,getCanonicalRepresentation,public String getCanonicalRepresentation(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_55c75ba42e92826773f9,35897457,error,True,getValue,public GregorianCalendar getValue(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_4e67a3255d6d0597f52c,35897457,error,True,getCanonicalRepresentation,public String getCanonicalRepresentation(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_0a557a0fabf5f45d9fb1,35897457,error,True,getDatatype,public static Datatype<? extends Object> getDatatype(Literal l),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_46662879d641bdc0885c,35897457,error,True,getCanonicalRepresentation,public String getCanonicalRepresentation(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_f6729532d598e4f8a157,35897457,error,True,parse,"public Iterator<Node[]> parse(Reader r, String baseURI)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_c2f0c0d8b0313b60d364,35897457,error,True,getCanonicalRepresentation,public String getCanonicalRepresentation(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_f967a766eb70a391c821,35897457,error,True,parse,@Override public void parse(final Callback cb),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_d547ac599f1c9c6f558f,35897457,error,True,parse,@Override public void parse(Callback cb),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_52f77e124b8bb75d7a3a,35897457,error,True,reResolveContextualBnode,"public static BNode reResolveContextualBnode(BNode bn,
			URI uriToResolveAgainst)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_d4cbba68d88709bcb65f,35897457,error,True,reResolveContextualBnode,"public static BNode reResolveContextualBnode(BNode bn,
			URI uriToResolveAgainst)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_386dff7fa05f6910842c,35897457,error,True,compare,"public int compare(Node[] n1, Node[] n2)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_976263c044b1bb7e788f,35897457,error,True,writeTo,"@Override public void writeTo(Iterable<Node[]> t, Class<?> type, Type genericType,
			Annotation[] annotations, MediaType mediaType,
			MultivaluedMap<String, Object> httpHeaders,
			OutputStream entityStream)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_9640caa9a01c9ec7cc49,35897457,error,True,writeTo,"@Override public void writeTo(Iterable<Node[]> t, Class<?> type, Type genericType,
			Annotation[] annotations, MediaType mediaType,
			MultivaluedMap<String, Object> httpHeaders,
			OutputStream entityStream)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_58cff9d481237406fb48,35897457,error,True,equals,@Override public boolean equals(Object o),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_056b36e159d3d0376e48,35897457,error,True,toString,@Override public String toString(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_b3b85e77f04fbb68cf09,35897457,error,True,toString,@Override public String toString(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_b78e906252f10cebd83a,35897457,error,True,getLanguageTag,public String getLanguageTag(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_5989db7693ef0bdfbb7a,35897457,error,True,getLabel,@Override public String getLabel(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_6cf0f4f9669cf87fd80f,35897457,error,True,toString,@Override public String toString(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_b73ba863548ae2a3a4ff,35897457,error,True,toString,@Override public String toString(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_289ab3bca74ae38a6e63,39970786,error,True,add,"public void add(final Callback<Boolean> callback, final Todo todo)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_01fc4b0013cd0bb4afe0,39970786,error,True,add,"@PUT(""/todo/"") public void add(final Callback<Boolean> callback, final Todo todo)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_587854c61c647f302bd8,39970786,error,True,add,"public void add(final Callback<Boolean> callback, final Todo todo)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_3170e619bbf8222b7c44,40266095,error,True,getPerformanceMeasures,public PerformanceMeasures getPerformanceMeasures(double retrievedPercentage),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_8d7eaa4577d88b8f309f,40266095,error,True,getPerformanceMeasures,public PerformanceMeasures getPerformanceMeasures(double retrievedPercentage),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_b4c98c859a38506d0eab,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_881037f4c7eea54c7b70,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_524e33e697f24cb8087b,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_661a099451f4c3d5bd8c,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_e02982435d8b3398015e,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_e02a86bf3baed2737f42,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_9b1ffa9f63a586d79a1a,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_eea24d279be69da77ab5,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
