ID_Focal_Class,Cyclomatic_Complexity_Focal_Class,Lines_Of_Code_Focal_Class,Generator(LLM/EVOSUITE),Prompt_Technique,Branch_Coverage,Line_Coverage,Method_Coverage,Compilation,Mutation_Coverage,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,Chance
35897457_Literal,32.0,46.0,human,-,75.0,76.09,62.5,1,75.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35897457_DatatypeFactory,43.0,80.0,human,-,8.75,11.25,100.0,1,21.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35897457_Util,7.0,23.0,human,-,37.5,60.87,66.67,1,42.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35897457_NodeArrayComparator,43.0,109.0,human,-,6.25,26.61,36.36,1,14.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35897457_XsdHexBinary,5.0,8.0,human,-,50.0,75.0,75.0,1,66.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35897457_XsdGDay,6.0,11.0,human,-,50.0,72.73,100.0,1,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35897457_NodesReResolvingIterator,15.0,47.0,human,-,14.29,34.04,25.0,1,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35897457_XsdGMonth,6.0,11.0,human,-,50.0,63.64,75.0,1,75.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35897457_Resource,19.0,26.0,human,-,64.29,50.0,41.67,1,11.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35897457_XsdDateTime,8.0,15.0,human,-,33.33,53.33,80.0,1,57.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35897457_XsdDate,6.0,11.0,human,-,50.0,72.73,100.0,1,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35897457_XsdDateTimeStamp,8.0,15.0,human,-,33.33,53.33,80.0,1,57.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35897457_JsonLDParser,-,-,human,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35897457_XsdBoolean,11.0,14.0,human,-,85.71,85.71,75.0,1,81.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35897457_TurtleParser,7.0,23.0,human,-,0.0,30.43,40.0,1,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35897457_RDFaParser,12.0,41.0,human,-,10.0,39.02,33.33,1,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
