index,Project,Focal_Class,Test_Class,Focal_Path,Test_Path,Module,Cyclomatic_complexity,Lines_of_code,Branch_coverage,Method_coverage,Line_coverage,Mutation_Coverage
17,35897457,Literal,LiteralTest,compiledrepos/35897457/nxparser-model/src/main/java/org/semanticweb/yars/nx/Literal.java,compiledrepos/35897457/nxparser-model/src/test/java/org/semanticweb/yars/nx/LiteralTest.java,nxparser-model,32.0,46.0,75.0,62.5,76.09,75.0
29,35897457,DatatypeFactory,DatatypeFactoryTest,compiledrepos/35897457/nxparser-model-datatypes/src/main/java/org/semanticweb/yars/nx/dt/DatatypeFactory.java,compiledrepos/35897457/nxparser-model-datatypes/src/test/java/org/semanticweb/yars/nx/dt/DatatypeFactoryTest.java,nxparser-model-datatypes,43.0,80.0,8.75,100.0,11.25,21.95
98,35897457,Util,UtilTest,compiledrepos/35897457/nxparser-utilities-uri/src/main/java/org/semanticweb/yars/util/Util.java,compiledrepos/35897457/nxparser-utilities-uri/src/test/java/org/semanticweb/yars/util/UtilTest.java,nxparser-utilities-uri,7.0,23.0,37.5,66.67,60.87,42.86
116,35897457,NodeArrayComparator,NodeArrayComparatorTest,compiledrepos/35897457/nxparser-utilities-nx/src/main/java/org/semanticweb/yars/nx/NodeArrayComparator.java,compiledrepos/35897457/nxparser-utilities-nx/src/test/java/org/semanticweb/yars/nx/NodeArrayComparatorTest.java,nxparser-utilities-nx,43.0,109.0,6.25,36.36,26.61,14.29
132,35897457,XsdHexBinary,XsdHexBinaryTest,compiledrepos/35897457/nxparser-model-datatypes/src/main/java/org/semanticweb/yars/nx/dt/binary/XsdHexBinary.java,compiledrepos/35897457/nxparser-model-datatypes/src/test/java/org/semanticweb/yars/nx/dt/binary/XsdHexBinaryTest.java,nxparser-model-datatypes,5.0,8.0,50.0,75.0,75.0,66.67
141,35897457,XsdGDay,XsdGDayTest,compiledrepos/35897457/nxparser-model-datatypes/src/main/java/org/semanticweb/yars/nx/dt/datetime/XsdGDay.java,compiledrepos/35897457/nxparser-model-datatypes/src/test/java/org/semanticweb/yars/nx/dt/datetime/XsdGDayTest.java,nxparser-model-datatypes,6.0,11.0,50.0,100.0,72.73,100.0
143,35897457,NodesReResolvingIterator,NodesReResolvingIteratorTest,compiledrepos/35897457/nxparser-utilities-nx/src/main/java/org/semanticweb/yars/nx/NodesReResolvingIterator.java,compiledrepos/35897457/nxparser-utilities-nx/src/test/java/org/semanticweb/yars/nx/NodesReResolvingIteratorTest.java,nxparser-utilities-nx,15.0,47.0,14.29,25.0,34.04,20.0
149,35897457,XsdGMonth,XsdGMonthTest,compiledrepos/35897457/nxparser-model-datatypes/src/main/java/org/semanticweb/yars/nx/dt/datetime/XsdGMonth.java,compiledrepos/35897457/nxparser-model-datatypes/src/test/java/org/semanticweb/yars/nx/dt/datetime/XsdGMonthTest.java,nxparser-model-datatypes,6.0,11.0,50.0,75.0,63.64,75.0
153,35897457,Resource,ResourceTest,compiledrepos/35897457/nxparser-model/src/main/java/org/semanticweb/yars/nx/Resource.java,compiledrepos/35897457/nxparser-model/src/test/java/org/semanticweb/yars/nx/ResourceTest.java,nxparser-model,19.0,26.0,64.29,41.67,50.0,11.11
163,35897457,XsdDateTime,XsdDateTimeTest,compiledrepos/35897457/nxparser-model-datatypes/src/main/java/org/semanticweb/yars/nx/dt/datetime/XsdDateTime.java,compiledrepos/35897457/nxparser-model-datatypes/src/test/java/org/semanticweb/yars/nx/dt/datetime/XsdDateTimeTest.java,nxparser-model-datatypes,8.0,15.0,33.33,80.0,53.33,57.14
176,35897457,XsdDate,XsdDateTest,compiledrepos/35897457/nxparser-model-datatypes/src/main/java/org/semanticweb/yars/nx/dt/datetime/XsdDate.java,compiledrepos/35897457/nxparser-model-datatypes/src/test/java/org/semanticweb/yars/nx/dt/datetime/XsdDateTest.java,nxparser-model-datatypes,6.0,11.0,50.0,100.0,72.73,100.0
178,35897457,XsdDateTimeStamp,XsdDateTimeStampTest,compiledrepos/35897457/nxparser-model-datatypes/src/main/java/org/semanticweb/yars/nx/dt/datetime/XsdDateTimeStamp.java,compiledrepos/35897457/nxparser-model-datatypes/src/test/java/org/semanticweb/yars/nx/dt/datetime/XsdDateTimeStampTest.java,nxparser-model-datatypes,8.0,15.0,33.33,80.0,53.33,57.14
181,35897457,JsonLDParser,JsonLDParserTest,compiledrepos/35897457/nxparser-parsers-external-jsonld-semargl/src/main/java/org/semanticweb/yars/parsers/jsonld/semargl/JsonLDParser.java,compiledrepos/35897457/nxparser-parsers-external-jsonld-semargl/src/test/java/org/semanticweb/yars/parsers/jsonld/semargl/JsonLDParserTest.java,nxparser-parsers-external-jsonld-semargl,-,-,-,-,-,-
217,35897457,XsdBoolean,XsdBooleanTest,compiledrepos/35897457/nxparser-model-datatypes/src/main/java/org/semanticweb/yars/nx/dt/bool/XsdBoolean.java,compiledrepos/35897457/nxparser-model-datatypes/src/test/java/org/semanticweb/yars/nx/dt/bool/XsdBooleanTest.java,nxparser-model-datatypes,11.0,14.0,85.71,75.0,85.71,81.82
227,35897457,TurtleParser,TurtleParserTest,compiledrepos/35897457/nxparser-parsers/src/main/java/org/semanticweb/yars/turtle/TurtleParser.java,compiledrepos/35897457/nxparser-parsers/src/test/java/org/semanticweb/yars/turtle/TurtleParserTest.java,nxparser-parsers,7.0,23.0,0.0,40.0,30.43,0.0
239,35897457,RDFaParser,RDFaParserTest,compiledrepos/35897457/nxparser-parsers-external-rdfa-semargl/src/main/java/org/semanticweb/yars/parsers/rdfa/semargl/RDFaParser.java,compiledrepos/35897457/nxparser-parsers-external-rdfa-semargl/src/test/java/org/semanticweb/yars/parsers/rdfa/semargl/RDFaParserTest.java,nxparser-parsers-external-rdfa-semargl,12.0,41.0,10.0,33.33,39.02,0.0
